	oob_score	n_estimators	min_weight_fraction_leaf	min_samples_split	min_samples_leaf	min_impurity_decrease	max_samples	max_leaf_nodes	max_features	max_depth	criterion	ccp_alpha	bootstrap	accuracy	average_precision	f1	precision	recall	roc_auc
137	True	10	1.0	2	1	0.5	0.9	100.0	auto	100.0	entropy	1e-05	False						
138	True	50	0.0	5	2	0.0	0.25	10.0	sqrt	1000.0	entropy	1e-05	False						
139	False	75	1.0	10	2	0.5			sqrt	100.0	entropy	0.1	True						
140	False	75	1.0	5	5	0.5	0.9	500.0	auto	100.0	entropy	0.001	False						
141	True	75	1.0	10	2	10.0	0.75	100.0	sqrt	100.0	gini	0.0001	True						
142	True	10	5.0	5	2	1.0	0.1	1000.0	sqrt	10.0	entropy	1e-05	True						
143	False	100	1.0	2	1	5.0	0.1		sqrt	1000.0	entropy	0.0001	True						
144	True	50	1.0	5	5	10.0	1.0		log2	10.0	gini	0.1	False						
145	False	10	1.0	2	5	0.5		1000.0	sqrt	10.0	gini	1.0	False						
146	False	75	10.0	5	5	0.0	0.5	100.0	sqrt	10.0	entropy	0.001	True						
147	False	50	5.0	2	5	0.0	0.25	100.0	sqrt		entropy	1e-05	False						
148	False	50	10.0	5	1	10.0	1.0	200.0	log2	100.0	gini	1.0	True						
149	False	25	5.0	5	5	0.5	0.1	200.0	log2	100.0	gini	0.0	True						
150	True	50	5.0	2	2	10.0	0.1	1000.0	log2	100.0	gini	0.01	True						
151	True	25	5.0	10	5	1.0		500.0	auto		gini	0.0	False						
152	False	25	1.0	10	2	0.0	0.9	200.0	log2		gini	0.01	False						
153	False	10	5.0	5	5	1.0	0.9	1000.0	log2	1000.0	entropy	0.001	True						
154	False	100	0.0	5	2	0.5	0.25	50.0	sqrt		gini	1.0	False						
155	True	75	1.0	2	5	0.0	0.75	500.0	log2	100.0	gini	0.0001	True						
156	True	25	5.0	5	2	1.0			sqrt		gini	1e-05	False						
157	True	10	5.0	5	2	5.0	0.9		log2	100.0	entropy	1e-05	False						
158	True	100	1.0	2	2	0.0	0.75	500.0	log2	10.0	entropy	0.0001	False						
159	False	10	10.0	5	1	5.0	0.1	1000.0	auto	10.0	gini	0.0	True						
160	True	10	10.0	2	5	0.5	0.25	50.0	auto	10.0	entropy	0.0001	False						
161	False	50	0.0	5	1	10.0	0.75		sqrt	1000.0	entropy	1.0	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
162	False	50	5.0	5	2	10.0		50.0	auto	100.0	gini	0.01	False						
163	True	10	10.0	10	2	10.0	0.25		log2	10.0	gini	0.001	False						
164	False	50	10.0	2	2	5.0		500.0	auto		gini	0.1	False						
165	True	25	1.0	5	5	5.0	0.9	100.0	log2	1000.0	gini	0.0	True						
166	False	50	5.0	5	1	5.0	0.9	50.0	auto		entropy	0.0	False						
167	False	25	1.0	2	1	1.0	0.5	100.0	log2		gini	0.1	True						
168	True	25	1.0	2	2	5.0	0.1	500.0	auto	100.0	gini	0.001	False						
169	True	10	5.0	2	1	0.5	1.0	500.0	log2	10.0	gini	0.0	True						
170	True	100	0.0	10	1	10.0	0.75	1000.0	auto	1000.0	gini	0.01	True	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
171	True	75	10.0	2	1	10.0	0.75	100.0	auto	10.0	gini	0.0001	False						
