	weights	p	n_neighbors	metric_params	metric	leaf_size	algorithm	accuracy	average_precision	f1	precision	recall	roc_auc
203	uniform	3	10	{'V': 2}	seuclidean	100	ball_tree						
204	uniform	3	7	{'w': 3}	chebyshev	100	auto	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
205	distance	3	3	{'V': 2}	mahalanobis	10	auto						
206	uniform	2	3	{'V': 1}	seuclidean	20	brute						
207	distance	3	7	{'w': 3}	seuclidean	100	ball_tree						
208	uniform	3	10	{'w': 1}	seuclidean	20	kd_tree						
209	uniform	2	7	{'V': 3}	chebyshev	100	brute	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
210	uniform	1	5	{'w': 3}	chebyshev	20	ball_tree						
211	distance	2	7	{'V': 2}	minkowski	40	ball_tree						
212	distance	1	10	{'V': 2}	mahalanobis	100	kd_tree						
213	uniform	2	10	{'w': 3}	mahalanobis	100	brute						
214	distance	2	10	{'w': 1}	seuclidean	10	brute						
215	distance	1	7	{'w': 3}	chebyshev	20	ball_tree						
216	uniform	2	3	{'V': 2}	seuclidean	20	kd_tree						
217	uniform	2	5	{'V': 2}	minkowski	50	brute	0.8107368773825983	0.5321831397844105	0.5087420149170202	0.6762087912087912	0.4217330538085255	0.7430878255414135
218	uniform	2	7	{'w': 3}	minkowski	30	auto	0.8089187717313895	0.5455717884871283	0.48254485615086223	0.6707043090755489	0.3958071278825996	0.7520905169499545
219	uniform	1	5	{'V': 2}	minkowski	100	kd_tree						
220	distance	1	7	{'V': 2}	mahalanobis	100	brute						
221	distance	2	3	{'V': 2}	mahalanobis	10	kd_tree						
222	uniform	1	7	{'w': 3}	mahalanobis	100	brute						
223	uniform	2	5	{'V': 1}	minkowski	40	brute	0.8107368773825983	0.5321831397844105	0.5087420149170202	0.6762087912087912	0.4217330538085255	0.7430878255414135
224	uniform	3	10	{'V': 2}	seuclidean	40	auto						
225	distance	3	7	{'V': 1}	seuclidean	100	brute						
226	uniform	2	3	{'w': 2}	chebyshev	10	ball_tree						
227	uniform	2	3	{'w': 2}	mahalanobis	30	brute						
228	uniform	3	10	{'w': 1}	chebyshev	30	auto	0.7568430312932009	0.35903514132702063	0.1457264957264957	0.49653679653679655	0.08581411600279523	0.6229710711214083
229	uniform	2	10	{'V': 3}	chebyshev	30	ball_tree						
230	uniform	2	5	{'w': 3}	chebyshev	30	kd_tree						
231	uniform	3	10	{'w': 3}	chebyshev	50	ball_tree						
232	uniform	1	5	{'V': 2}	chebyshev	10	auto	0.7550249256419923	0.36572916304173014	0.2449454450068261	0.49826007326007327	0.16422082459818307	0.6139788478607907
233	uniform	3	3	{'w': 3}	minkowski	100	kd_tree						
234	uniform	3	10	{'w': 2}	chebyshev	30	ball_tree						
235	distance	1	7	{'V': 3}	minkowski	30	auto						
236	uniform	1	3	{'w': 3}	chebyshev	10	brute	0.7102216078086381	0.42224105473886586	0.4931379632047925	0.43485121574387725	0.5895877009084557	0.6935910518383809
237	uniform	3	5	{'w': 2}	minkowski	30	brute	0.8080013405387291	0.5226268719611011	0.4939006596107708	0.6700749995220407	0.3996505939902166	0.740045069420685
238	uniform	3	7	{'w': 3}	minkowski	20	auto	0.8116626869423149	0.5528281001564063	0.49614267106109616	0.6869232042698876	0.403214535290007	0.7475205797460857
239	distance	3	3	{'V': 1}	seuclidean	20	brute						
240	distance	3	5	{'V': 3}	chebyshev	50	auto	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
241	uniform	1	10	{'w': 3}	chebyshev	10	kd_tree						
242	uniform	2	3	{'w': 3}	minkowski	20	ball_tree						
243	uniform	1	3	{'V': 3}	minkowski	100	kd_tree						
244	uniform	3	10	{'V': 1}	chebyshev	40	ball_tree						
245	distance	2	10	{'w': 1}	chebyshev	100	brute	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
246	uniform	3	3	{'w': 1}	minkowski	100	kd_tree						
247	uniform	2	5	{'w': 3}	chebyshev	20	auto	0.7550249256419923	0.36572916304173014	0.2449454450068261	0.49826007326007327	0.16422082459818307	0.6139788478607907
248	distance	2	10	{'w': 3}	minkowski	100	brute	0.8080055297222571	0.5850963673317819	0.4689020164232306	0.6811111111111111	0.3735849056603774	0.764399191327281
249	distance	1	5	{'V': 3}	chebyshev	10	kd_tree						
250	uniform	1	10	{'V': 3}	minkowski	50	brute						
251	uniform	3	5	{'V': 3}	chebyshev	30	auto	0.7550249256419923	0.36572916304173014	0.2449454450068261	0.49826007326007327	0.16422082459818307	0.6139788478607907
252	uniform	3	5	{'V': 1}	minkowski	100	ball_tree						
253	distance	3	3	{'w': 2}	minkowski	40	auto	0.7878890704201751	0.5253658938321368	0.47754500818330603	0.5785950650844268	0.41404612159329146	0.7208714662984572
254	uniform	1	5	{'V': 1}	mahalanobis	10	kd_tree						
255	uniform	2	5	{'V': 1}	mahalanobis	50	auto						
256	distance	2	5	{'w': 1}	seuclidean	30	auto						
257	distance	2	3	{'V': 1}	seuclidean	50	auto						
258	distance	2	10	{'w': 2}	chebyshev	10	auto	0.7531900632566713	0.3952537680083207	0.18809117831594246	0.46151960784313717	0.11942697414395528	0.633004662063539
259	distance	2	10	{'V': 3}	minkowski	10	auto	0.8080055297222571	0.5850963673317819	0.4689020164232306	0.6811111111111111	0.3735849056603774	0.764399191327281
260	uniform	3	7	{'V': 3}	mahalanobis	30	kd_tree						
261	uniform	2	3	{'V': 3}	minkowski	40	ball_tree						
262	uniform	2	10	{'V': 3}	mahalanobis	40	ball_tree						
263	distance	1	10	{'w': 1}	minkowski	50	auto	0.8134766034099954	0.6170209097580501	0.49521557034884794	0.6730986455405059	0.41055206149545775	0.7851927320488357
264	distance	3	5	{'V': 2}	chebyshev	30	auto	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
265	uniform	3	5	{'V': 3}	chebyshev	10	ball_tree						
266	uniform	1	7	{'V': 1}	minkowski	100	kd_tree						
267	uniform	1	7	{'w': 1}	minkowski	20	ball_tree						
268	uniform	1	7	{'V': 1}	chebyshev	10	auto	0.7577562733023333	0.37027863767816616	0.22148805266897834	0.49936507936507946	0.14549266247379455	0.6109388905600166
269	uniform	2	3	{'V': 2}	chebyshev	20	brute	0.7102216078086381	0.42224105473886586	0.4931379632047925	0.43485121574387725	0.5895877009084557	0.6935910518383809
270	uniform	2	5	{'w': 1}	seuclidean	10	kd_tree						
271	uniform	3	10	{'w': 2}	chebyshev	50	kd_tree						
272	uniform	2	7	{'w': 1}	minkowski	20	brute	0.8089187717313895	0.5455717884871283	0.48254485615086223	0.6707043090755489	0.3958071278825996	0.7520905169499545
273	uniform	2	3	{'V': 1}	seuclidean	30	auto						
274	distance	2	10	{'w': 1}	minkowski	100	ball_tree						
275	distance	2	5	{'V': 3}	chebyshev	20	brute	0.7531984416237275	0.4034003723716756	0.26668828137064793	0.5104528039010797	0.18280922431865826	0.6231321703815451
276	uniform	3	5	{'w': 1}	minkowski	100	auto	0.8080013405387291	0.5226268719611011	0.4939006596107708	0.6700749995220407	0.3996505939902166	0.740045069420685
277	distance	1	7	{'w': 3}	chebyshev	30	brute	0.7531858740731431	0.4076048204874391	0.2256543067780996	0.4852564102564103	0.14919636617749826	0.6229384012130091
278	distance	1	7	{'V': 3}	mahalanobis	10	auto						
279	distance	2	10	{'w': 2}	seuclidean	50	ball_tree						
280	uniform	1	10	{'w': 1}	chebyshev	100	ball_tree						
281	distance	3	5	{'w': 1}	mahalanobis	40	ball_tree						
282	distance	3	10	{'w': 3}	chebyshev	30	ball_tree						
283	uniform	1	3	{'w': 3}	seuclidean	50	brute						
284	distance	3	5	{'w': 2}	seuclidean	20	ball_tree						
285	uniform	2	5	{'w': 2}	mahalanobis	10	auto						
286	uniform	3	7	{'V': 1}	chebyshev	30	ball_tree						
287	distance	3	10	{'V': 3}	seuclidean	10	kd_tree						
288	distance	2	5	{'w': 2}	chebyshev	50	kd_tree						
289	distance	1	7	{'V': 1}	chebyshev	30	auto	0.7531858740731431	0.4076048204874391	0.2256543067780996	0.4852564102564103	0.14919636617749826	0.6229384012130091
290	uniform	2	5	{'w': 2}	mahalanobis	40	ball_tree						
291	distance	3	10	{'V': 2}	minkowski	10	auto	0.8162414645385614	0.5862316451925376	0.48557602574723335	0.7318375173213882	0.3810621942697414	0.7527400855566346
292	uniform	3	10	{'V': 1}	mahalanobis	100	auto						
293	uniform	2	5	{'w': 2}	mahalanobis	10	ball_tree						
294	uniform	2	3	{'V': 3}	mahalanobis	40	kd_tree						
295	uniform	3	5	{'V': 1}	seuclidean	50	kd_tree						
296	distance	2	10	{'w': 3}	seuclidean	20	brute						
297	distance	2	3	{'w': 2}	minkowski	100	brute	0.7833186711909849	0.5306620695435149	0.480488712099482	0.5622611389929549	0.4252969951083159	0.7234963384444327
298	uniform	3	10	{'V': 3}	seuclidean	20	auto						
299	uniform	3	10	{'V': 2}	mahalanobis	40	auto						
300	distance	1	10	{'w': 2}	mahalanobis	30	brute						
301	distance	1	3	{'w': 1}	chebyshev	10	auto	0.7175233546981693	0.4515994678967088	0.49364403093067466	0.44006962964045393	0.5819007686932215	0.7010920679095264
302	uniform	1	5	{'w': 3}	seuclidean	10	brute						
303	uniform	3	10	{'w': 1}	mahalanobis	30	auto						
304	distance	3	3	{'V': 2}	minkowski	30	kd_tree						
305	distance	1	7	{'w': 1}	seuclidean	50	kd_tree						
