	shrinking	probability	kernel	gamma	degree	decision_function_shape	coef0	break_ties	C	accuracy	average_precision	f1	precision	recall	roc_auc
4011	True	True	linear	auto	4	ovr	5.0	True	0.1	0.8545808721880105	0.7440054711439157	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8554168779617746
4012	True	False	linear	scale	2	ovo	5.0	True	0.5						
4013	True	True	sigmoid	auto	4	ovr	0.01	False	1.0	0.8363160320053622	0.652065344363933	0.5662887055275206	0.6889284750337381	0.5285921625544268	0.8061963383286411
4014	False	True	linear	scale	4	ovr	0.001	False	0.001	0.7586862720455783	0.7427584573252135	0.0	0.0	0.0	0.8506732299298791
4015	True	False	poly	scale	1	ovo	0.01	False	5.0	0.8545808721880105	0.7638869025998152	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8631931208141712
4016	False	False	poly	scale	5	ovo	0.01	True	10.0						
4017	False	False	rbf	auto	1	ovr	0.0	True	10.0	0.8609777554354656	0.7224973343787916	0.6015250131882992	0.8051117221081983	0.5285921625544268	0.8392331299071467
4018	False	True	poly	auto	3	ovr	5.0	False	0.005	0.8564073562062754	0.7481873173641134	0.5683488270835662	0.8746345577211393	0.505732946298984	0.8505171629915889
4019	False	False	rbf	auto	5	ovo	0.001	True	0.5						
4020	False	True	sigmoid	auto	2	ovr	5.0	False	0.1	0.7586862720455783	0.6689444183213843	0.0	0.0	0.0	0.8416821130676553
4021	True	False	poly	scale	3	ovr	0.0	False	0.005	0.7586862720455783	0.6445249374865168	0.0	0.0	0.0	0.8106173605889448
4022	True	False	poly	scale	2	ovo	5.0	True	0.001						
4023	True	False	linear	scale	2	ovo	0.1	True	0.05						
4024	False	False	linear	scale	4	ovo	10.0	False	1.0	0.8545808721880105	0.761221503487647	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8617976987776943
4025	True	False	linear	auto	5	ovo	0.001	False	5.0	0.8545808721880105	0.7535855047574893	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8605150646125868
4026	True	False	rbf	scale	3	ovr	0.0	True	0.001	0.7586862720455783	0.7254357611942857	0.0	0.0	0.0	0.8442513158584994
4027	True	True	linear	auto	4	ovr	1.0	True	5.0	0.8545808721880105	0.7535855047574893	0.5665991376208397	0.8608132343846631	0.5132801161103048	0.8605150646125868
4028	True	False	poly	auto	2	ovr	0.1	True	0.1	0.7586862720455783	0.7159793572527835	0.0	0.0	0.0	0.8412274642838407
4029	False	False	poly	auto	5	ovr	1.0	False	1.0	0.8436135897113651	0.6702051060659941	0.5791946035589847	0.6957350427350427	0.5285921625544268	0.8205291412383933
4030	False	True	poly	scale	3	ovo	0.01	False	10.0	0.840878052867496	0.6555033515477909	0.5757637284149448	0.6992096838735494	0.5211175616835995	0.8069220277335758
4031	True	False	poly	auto	1	ovo	0.01	True	0.05						
4032	True	True	linear	scale	4	ovo	5.0	True	0.05						
4033	False	True	sigmoid	auto	3	ovr	5.0	False	1.0	0.7586862720455783	0.6758076664643722	0.0	0.0	0.0	0.83874307097767
