	solver	penalty	l1_ratio	intercept_scaling	dual	C	accuracy	average_precision	f1	precision	recall	roc_auc
369	lbfgs	none	0.6	0	True	0.001						
370	saga	l1	1.0	5	True	0.001						
371	sag	elasticnet	0.0	5	False	5.0						
372	liblinear	elasticnet	1.0	0	True	0.005						
373	liblinear	l1	0.9	5	False	0.5	0.8618993758116542	0.7542224669131932	0.5993515704154002	0.8819662063564504	0.5172714078374455	0.8544529351076294
374	lbfgs	l1	0.75	5	False	1.0						
375	sag	none	0.9	5	True	1.0						
376	sag	elasticnet	0.45	1	False	0.05						
377	newton-cg	l1	0.3	5	True	0.01						
378	sag	l2	0.6	0	False	0.5	0.8664655858573163	0.7538025828893875	0.6161004428169029	0.8775717360114778	0.5399129172714079	0.8579340584398553
