	power_t	penalty	loss	learning_rate	l1_ratio	eta0	epsilon	average	alpha	accuracy	average_precision	f1	precision	recall	roc_auc
7937	0.57	elasticnet	modified_huber	invscaling	0.3	1e-05	0.2	False	1e-06	0.7586862720455783	0.46404047460294995	0.0	0.0	0.0	0.6408077884833966
7938	0.25	l1	perceptron	constant	1.0	0.1	0.9	True	0.0001	0.8153198441623728	0.7127215725867897	0.5739263159942578	0.7544822510822511	0.5739477503628447	0.8132324654204627
7939	0.57	elasticnet	squared_error	optimal	0.45	0.0001	0.3	True	1.0	0.4387122449834527	0.16104760336637294	0.13577482762204449	0.10456880661972308	0.26473149492017417	0.24281873502719148
7940	0.1	l1	perceptron	adaptive	0.0	1e-05	0.5	False	1.0	0.6554899250136149	0.2413137279544217	0.07794117647058824	0.048401826484018265	0.2	0.5
7941	0.57	elasticnet	squared_hinge	constant	0.3	0.1	0.5	True	1.0	0.3600519458757488	0.1666545745518052	0.1463420166854144	0.11286089433636508	0.2320754716981132	0.24079073915400354
7942	0.9	l1	squared_hinge	invscaling	0.3	1e-05	0.5	False	0.1	0.7586862720455783	0.4337917796258151	0.0	0.0	0.0	0.6124844807386294
7943	0.57	elasticnet	squared_hinge	optimal	1.0	0.001	0.7	True	1.0	0.6308198232164551	0.27160790218828684	0.12371247871432493	0.12727416651145465	0.18497822931785196	0.36221912322730687
7944	0.1	elasticnet	hinge	constant	0.75	0.001	0.7	True	1.0	0.322655104520129	0.15394802382467213	0.10788229511704439	0.08126252114060145	0.17481857764876635	0.1936799447426863
7945	0.25	elasticnet	perceptron	adaptive	0.75	1e-05	0.7	False	0.001	0.8006995936491977	0.7035915883208076	0.5599689776515431	0.7490805438072057	0.5962989840348331	0.8279574029062549
7946	0.57	l2	squared_error	constant	0.9	0.001	0.7	True	1.0	0.7586862720455783	0.7293718447795015	0.0	0.0	0.0	0.8408886635074404
7947	0.57	l2	log	constant	0.3	0.001	0.3	False	1e-05	0.8628084286372586	0.7486069571014606	0.5773658422954198	0.9244596999745742	0.4794629898403483	0.8533001381432843
7948	0.25	elasticnet	modified_huber	constant	0.9	0.01	0.2	True	0.01	0.6817686732855766	0.2884729314532121	0.25468120675493944	0.3507264957264957	0.2119013062409289	0.5036162064804938
7949	0.25	elasticnet	hinge	optimal	1.0	0.0001	0.9	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
7950	0.5	elasticnet	modified_huber	optimal	0.45	0.0001	0.1	True	0.1	0.4525239830756986	0.16620006300137571	0.10830283459900795	0.0891949618964942	0.1404208998548621	0.28235306975361535
7951	0.5	l1	squared_error	constant	0.75	0.0001	0.5	False	1.0	0.7586862720455783	0.2413137279544217	0.0	0.0	0.0	0.5
7952	0.1	elasticnet	modified_huber	invscaling	0.45	1e-05	0.2	False	1.0	0.7586862720455783	0.3801913978603961	0.0	0.0	0.0	0.555857974714533
7953	0.5	l1	modified_huber	adaptive	0.15	0.0001	0.2	False	0.001	0.8609819446189938	0.7505373873222203	0.5810897719421771	0.9019885339885342	0.4907837445573294	0.8546640844947279
7954	0.5	l2	squared_hinge	constant	0.15	0.0001	0.7	False	1e-05	0.8600687026098613	0.7500989686952168	0.5770537359061412	0.9006898326898327	0.48701015965166905	0.8546627730078515
7955	0.57	elasticnet	squared_hinge	constant	0.0	1e-05	0.1	True	0.001	0.7586862720455783	0.7013651515580518	0.0	0.0	0.0	0.8252539912917272
7956	0.5	elasticnet	modified_huber	constant	0.75	1e-05	0.3	True	0.01	0.7586862720455783	0.7010243313161149	0.0	0.0	0.0	0.8249759560739329
7957	0.5	l1	log	adaptive	0.0	1e-05	0.9	False	0.01	0.7586862720455783	0.5002566661135199	0.0	0.0	0.0	0.6747154073478238
7958	0.57	l1	squared_hinge	constant	0.6	0.001	0.5	False	0.01	0.8609777554354656	0.7530804166066931	0.5807309214482258	0.8968427430147866	0.5020319303338171	0.8541023309493415
7959	0.25	l1	squared_error	optimal	0.75	0.001	0.7	True	1e-06	0.5182941644673453	0.22154202154571406	0.22374886813808717	0.18065449754888122	0.32249637155297534	0.4373297252872156
7960	0.25	elasticnet	log	optimal	0.3	0.001	0.3	False	0.1	0.7586862720455783	0.7432391601487133	0.0	0.0	0.0	0.8465647787084476
7961	0.5	l1	squared_hinge	optimal	0.3	1e-05	0.5	True	1e-05	0.8646432910225798	0.751075314203297	0.6217012035179829	0.8600050276520864	0.5513062409288825	0.8526308426740343
7962	0.1	elasticnet	squared_hinge	invscaling	0.0	1e-05	0.9	False	1e-06	0.7586862720455783	0.6346447795918546	0.0	0.0	0.0	0.7847238008638326
7963	0.57	l2	hinge	invscaling	0.0	0.0001	0.5	True	1e-06	0.7586862720455783	0.46117365366459273	0.0	0.0	0.0	0.6351369192298948
7964	0.5	elasticnet	squared_error	constant	0.0	0.0001	0.2	True	0.0001	0.7641657241003729	0.7304111970562713	0.04338143338143338	0.6	0.022641509433962266	0.8435645338975641
7965	0.9	elasticnet	squared_hinge	adaptive	0.45	0.001	0.9	True	0.001	0.8591512714172008	0.7526275317955436	0.5748148148148149	0.8948972596031421	0.49448476052249635	0.8572704460804029
7966	0.9	l2	perceptron	invscaling	0.75	0.001	0.2	False	0.0001	0.8034393196765951	0.6403516539735714	0.5693863813566664	0.6011634398517229	0.5669085631349783	0.813750939898928
7967	0.9	l1	hinge	invscaling	0.75	0.0001	0.7	False	1.0	0.7586862720455783	0.23904939752163684	0.0	0.0	0.0	0.46654921573084795
7968	0.5	elasticnet	squared_error	optimal	0.9	0.1	0.1	True	0.01	0.5136274140170081	0.2968274356288326	0.34689158974419837	0.25626929586963304	0.548911465892598	0.5273869061150263
7969	0.25	elasticnet	modified_huber	optimal	0.9	0.0001	0.7	True	0.01	0.5110091743119266	0.29038451145663424	0.26385070794093524	0.2020690348256351	0.40791001451378817	0.4847023799115183
7970	0.9	elasticnet	hinge	adaptive	0.75	1e-05	0.9	True	1e-05	0.7586862720455783	0.5104473291721632	0.0	0.0	0.0	0.6800894434049697
7971	0.25	l2	hinge	invscaling	0.15	0.001	0.5	False	1e-05	0.7586862720455783	0.7345772619102598	0.0	0.0	0.0	0.8420676902093133
7972	0.57	l1	log	adaptive	0.6	0.1	0.7	True	0.0001	0.863721670646391	0.7531762156841065	0.6171180002729383	0.8193533537445987	0.551233671988389	0.8569500061202721
7973	0.1	l1	hinge	optimal	0.0	1e-05	0.5	False	1e-06	0.8052197226760504	0.7117814920069578	0.6006794164206564	0.59190982273025	0.634978229317852	0.8347321069473832
7974	0.5	l2	hinge	invscaling	0.75	0.01	0.1	False	0.0001	0.7595995140547107	0.7320078076599147	0.007407407407407407	0.2	0.0037735849056603774	0.8420759962928639
7975	0.9	l1	hinge	optimal	0.3	1e-05	0.1	False	1e-06	0.8052029659419379	0.6949416202138702	0.6375401237201379	0.6751355661881977	0.6629172714078375	0.8454137303932712
7976	0.57	l2	squared_hinge	adaptive	0.9	1e-05	0.5	True	0.01	0.7586862720455783	0.7074798561573461	0.0	0.0	0.0	0.8292610208613846
7977	0.9	elasticnet	perceptron	optimal	0.0	0.01	0.1	False	0.1	0.8527627665368019	0.7184391724122832	0.6053310120696773	0.7798212005108557	0.5103047895500725	0.8381131201147113
7978	0.1	elasticnet	squared_error	invscaling	0.45	0.0001	0.3	False	1.0	0.7586862720455783	0.22630051637638707	0.0	0.0	0.0	0.4533272422053963
7979	0.9	l1	modified_huber	optimal	0.0	0.001	0.9	False	0.0001	0.8052448577772191	0.6962000408500627	0.6256380901573041	0.6976898326898328	0.6277213352685052	0.829018832951545
7980	0.5	l2	squared_error	optimal	0.75	0.001	0.3	False	0.1	0.52834401575133	0.25064297548683145	0.2499361835285173	0.19569170067584776	0.3567489114658926	0.4076372252434994
7981	0.1	l1	log	constant	1.0	1e-05	0.3	False	1e-05	0.7586862720455783	0.515131247999364	0.0	0.0	0.0	0.68965674016822
7982	0.25	elasticnet	perceptron	optimal	0.75	1e-05	0.1	False	0.001	0.8299191487579071	0.7259586511150535	0.5919955131421687	0.6958850713281093	0.5703193033381713	0.8500904925944708
7983	0.25	l1	perceptron	optimal	0.45	0.001	0.3	False	1e-05	0.818960244648318	0.7134178793072247	0.5529556237185626	0.572747361040044	0.5660377358490567	0.8300374210922061
7984	0.5	l2	perceptron	invscaling	1.0	0.01	0.7	True	1e-06	0.8536843869129906	0.7453341884758398	0.6158868731656715	0.774267137118201	0.5740203193033382	0.8539930403763094
7985	0.57	l2	log	adaptive	0.45	1e-05	0.2	False	1.0	0.7586862720455783	0.5008417156469595	0.0	0.0	0.0	0.6765471173518457
7986	0.1	elasticnet	modified_huber	adaptive	0.0	0.01	0.5	False	1e-06	0.8682878806920531	0.7538267185548079	0.6156177156177156	0.8791216902975962	0.5473875181422352	0.8568022452655324
7987	0.1	l1	perceptron	optimal	0.75	0.001	0.9	False	1e-05	0.8472916928490637	0.7070348514491527	0.6244853604596022	0.7547430947430946	0.5410740203193033	0.8253606588910067
